"jobTitle","company","location","link","jobDescription"
"Data Scientist ( Optimization )- Bangalore (3-7 Years Of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-optimization-bangalore-3-7-years-of-experience/","java, linear regression, logistic, machine learning, python, r, regression, statistical techniques, structured thinking"
"Data Scientist- Bangalore (3-6 Years Of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-3-6-years-of-experience/","MongoDB, oracle, pentaho, sql, tableau"
"Data Scientist – Marketing – Bangalore (4-9+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-marketing-bangalore-4-9-years-of-experience/","clustering, marketing analytics, modeling, r, sas, segmentation, testing"
"Data Scientist- Mumbai (5 Yrs of Experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-mumbai-5-yrs-of-experience/","apache spark, bigdata, hadoop, java, machine learning, naive bayes, nlp, python, svm, text mining"
"Data Scientist (Theoretical)- Delhi/NCR (4+ Year Of Experience)","Analytics Vidhya "," Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-theoretical-delhincr-4-year-of-experience/","clustering, data mining, decision trees, forecasting, machine learning, regression, statistics"
"Data Scientist - Bangalore (2 - 5 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-5-years-of-experience/","analytics, classification, machine learning, python, r, regression, sas, spss, time series"
"Data Scientist- Bangalore (2+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-years-of-experience-3/","data mining, hadoop, hbase, machine learning, predictive modeling, python, r, spark, statistical modeling, text mining"
"Junior Data Scientist- Mumbai (0-2 Years of Experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/junior-data-scientist-mumbai-0-2-years-of-experience/","deep learning, hadoop, linear regression, naive bayes, regression"
"Data Scientist- Delhi/NCR (3+ Years Of Experience)","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-delhincr-3-years-of-experience/","hadoop, java, logistic regression, mapreduce, matlab, nosql, predictive modeling, python, r, spark"
"Senior Data Scientist - Taramani, Chennai (7 - 10 years of Experience)","Analytics Vidhya "," Chennai, Taramani ","https://jobsnew.analyticsvidhya.com/jobs/senior-data-scientist-taramani-chennai-7-10-years-of-experience/","bagging, boosting, d3.js, data cleaning, data modeling, data visualization, decision trees, deep learning, image processing, machine learning, neural network, nlp, numpy + scipy, Object Detection, pca, Power BI, python, r, random forest, regression, sciki"
"Data Scientist","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-2/",""
"Data Scientist - Chennai (3 - 5 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-chennai-3-5-years-of-experience/","algorithms, analytics, data extraction, data manipulation, data science, machine learning, predictive model, python, r, structured thinking, visualization"
